구인업체명,모집기간,인원,성별,연령,급여 타입,급여,근무요일,근무시간형태,근무시간,업종,고용형태,데이터기준일자
효자 삼이족발보쌈,2020-08-04 - 2020-08-04,1,여,연령 무관,시급,9000,주1일,오전 타임,10:00~15:00,주방보조 및 홀서빙,무관,2020-08-13
솔마루화로구이,2020-08-04 - 2020-08-04,1,남,연령 무관,일급,100000,주1일,기타,10:00~21:00,주방보조 및 홀서빙,무관,2020-08-13
동원해물촌,2020-08-04 - 2020-08-09,1,여,40 - 60,시급,8590,"주말(토, 일)",기타,10:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
동원해물촌,2020-08-04 - 2020-08-09,1,여,40 - 60,시급,8590,"주말(토, 일)",기타,10:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
신수정회식당,2020-08-04 - 2020-08-10,1,여,연령 무관,일급,95000,주2일,기타,09:30~21:30,주방보조 및 홀서빙,무관,2020-08-13
이박사냄비갈비,2020-08-04 - 2020-08-06,1,여,45 - 55,시급,10000,주3일,기타,18:00~22:00,주방보조 및 홀서빙,자투리시간,2020-08-13
백년갈비,2020-08-04 - 2020-08-04,1,여,연령 무관,일급,50000,주1일,저녁 타임,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
해동회수산,2020-08-04 - 2020-08-04,1,여,45 - 60,시급,9000,주1일,기타,11:00~16:00,주방보조 및 홀서빙,자투리시간,2020-08-13
조치조치해물퓨전포차,2020-08-04 - 2020-08-08,1,여,연령 무관,일급,120000,주2일,기타,20:00~05:30,주방보조 및 홀서빙,자투리시간,2020-08-13
효자명당,2020-08-04 - 2020-08-04,1,여,연령 무관,시급,10000,주1일,기타,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
금조갈비,2020-08-04 - 2020-08-04,1,여,45 - 60,일급,100000,주6일,기타,10:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
한우랑,2020-08-04 - 2020-08-09,1,여,연령 무관,시급,9000,주6일,오전 타임,10:30~15:00,주방보조 및 홀서빙,자투리시간,2020-08-13
명가전통민물장어,2020-08-04 - 2020-08-09,1,여,연령 무관,일급,100000,주1일,기타,10:00~21:00,주방보조 및 홀서빙,자투리시간,2020-08-13
호호짜글이삼겹살,2020-08-04 - 2020-08-04,1,여,연령 무관,일급,40000,주1일,기타,11:00~15:00,주방보조 및 홀서빙,자투리시간,2020-08-13
언양닭칼국수,2020-08-04 - 2020-08-22,1,성별무관,20 - 40,시급,8590,주6일,기타,10:30~13:30,주방보조 및 홀서빙,자투리시간,2020-08-13
언양닭칼국수,2020-08-04 - 2020-08-22,1,성별무관,20 - 40,시급,8590,월~토,기타,11:00~20:00,주방보조 및 홀서빙,일반직,2020-08-13
언양닭칼국수,2020-08-04 - 2020-08-22,1,여,연령 무관,시급,8590,월~토,기타,17:00~21:00,주방보조 및 홀서빙,무관,2020-08-13
신수정회식당,2020-08-04 - 2020-08-04,1,성별무관,연령 무관,시급,9000,주1일,기타,09:30~15:30,주방보조 및 홀서빙,무관,2020-08-13
가장맛있는족발 족과의동침 이동점,2020-08-04 - 2020-08-04,1,여,40 - 60,시급,10000,주3일,기타,17:00~23:00,주방보조 및 홀서빙,무관,2020-08-13
해신자매매운탕,2020-08-04 - 2020-08-05,1,여,연령 무관,일급,90000,주1일,풀타임,10:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
한우랑,2020-08-04 - 2020-08-07,1,여,연령 무관,시급,9000,주5일,저녁 타임,10:30~15:00,주방보조 및 홀서빙,자투리시간,2020-08-13
고구려화로구이,2020-08-04 - 2020-08-05,1,여,연령 무관,시급,9000,주1일,기타,17:00~22:00,주방보조 및 홀서빙,무관,2020-08-13
현대해상화재보험주식회사,2020-08-04 - 2020-08-11,1,여,연령 무관,시급,8590,월~금,기타,09:00~18:00,사무직,계약직,2020-08-13
운수대통,2020-08-04 - 2020-08-04,1,여,45 - 55,일급,100000,주2일,기타,10:00~21:30,주방보조 및 홀서빙,자투리시간,2020-08-13
